iter	Passed	Remaining
462	758	880
463	759	877
464	761	875
465	762	873
466	763	871
467	764	869
468	766	867
469	767	865
470	768	862
471	769	860
472	770	858
473	772	856
474	773	854
475	774	852
476	776	850
477	777	848
478	778	846
479	779	844
480	780	842
481	781	840
482	782	837
483	784	835
484	785	833
485	786	831
486	787	829
487	788	827
488	789	825
489	791	824
490	793	822
491	794	819
492	794	817
493	796	815
494	797	813
495	798	810
496	799	808
497	800	806
498	801	804
499	802	802
500	803	800
501	804	798
502	805	796
503	807	794
504	808	792
505	809	790
506	810	788
507	811	786
508	812	783
509	813	782
510	814	779
511	816	777
512	817	775
513	818	773
514	819	771
515	820	769
516	822	767
517	823	765
518	824	763
519	825	761
520	826	759
521	827	757
522	828	755
523	829	753
524	830	751
525	831	749
526	832	747
527	833	745
528	834	743
529	836	741
530	837	739
531	839	738
532	840	736
533	841	733
534	842	731
535	843	729
536	844	727
537	845	725
538	846	723
539	847	721
540	848	719
541	849	717
542	851	716
543	852	714
544	853	712
545	854	710
546	855	708
547	857	706
548	858	704
549	859	702
550	860	700
551	861	699
552	862	697
553	863	695
554	864	693
555	865	691
556	867	689
557	868	688
558	869	686
559	870	684
560	871	682
561	873	680
562	874	678
563	875	676
564	876	674
565	877	673
566	878	671
567	879	669
568	881	667
569	882	665
570	883	663
571	884	661
572	885	659
573	886	657
574	887	655
575	888	654
576	889	652
577	890	650
578	891	648
579	892	646
580	893	644
581	895	642
582	897	641
583	898	640
584	899	638
585	901	636
586	902	634
587	903	632
588	904	631
589	905	629
590	906	627
591	908	625
592	909	624
593	910	622
594	912	620
595	913	619
596	914	617
597	915	615
598	916	613
599	917	611
600	918	609
601	919	607
602	920	606
603	921	604
604	922	602
605	924	600
606	925	598
607	926	597
608	927	595
609	929	593
610	929	592
611	931	590
612	932	588
613	933	586
614	934	585
615	936	583
616	937	581
617	938	580
618	939	578
619	941	576
620	942	575
621	943	573
622	945	571
623	946	570
624	947	568
625	949	566
626	950	565
627	951	563
628	953	562
629	954	560
630	956	559
631	958	557
632	959	556
633	961	554
634	962	553
635	963	551
636	964	549
637	965	548
638	967	546
639	968	544
640	969	543
641	971	541
642	972	539
643	973	538
644	974	536
645	976	534
646	977	533
647	978	531
648	979	529
649	981	528
650	982	526
651	984	525
652	985	523
653	987	522
654	988	520
655	990	519
656	991	517
657	992	515
658	993	514
659	994	512
660	995	510
661	997	509
662	998	507
663	999	505
664	1001	504
665	1002	502
666	1003	501
667	1004	499
668	1006	497
669	1007	496
670	1008	494
671	1010	492
672	1011	491
673	1012	489
674	1013	488
675	1015	486
676	1016	484
677	1017	483
678	1018	481
679	1019	479
680	1020	478
681	1021	476
682	1023	474
683	1024	473
684	1025	471
685	1026	469
686	1027	468
687	1028	466
688	1029	464
689	1030	462
690	1032	461
691	1033	459
692	1034	458
693	1035	456
694	1036	454
695	1037	453
696	1038	451
697	1039	449
698	1040	448
699	1041	446
700	1042	444
701	1043	443
702	1045	441
703	1046	440
704	1048	438
705	1049	436
706	1050	435
707	1051	433
708	1052	431
709	1053	430
710	1054	428
711	1055	426
712	1056	425
713	1057	423
714	1058	422
715	1059	420
716	1061	418
717	1062	417
718	1063	415
719	1064	414
720	1066	412
721	1067	410
722	1068	409
723	1069	407
724	1070	405
725	1071	404
726	1072	402
727	1073	401
728	1074	399
729	1076	398
730	1077	396
731	1078	395
732	1080	393
733	1081	391
734	1082	390
735	1083	388
736	1085	387
737	1086	385
738	1087	383
739	1088	382
740	1089	380
741	1090	379
742	1092	377
743	1093	376
744	1094	374
745	1095	372
746	1096	371
747	1097	369
748	1098	368
749	1099	366
750	1100	364
751	1101	363
752	1102	361
753	1103	360
754	1104	358
755	1106	356
756	1107	355
757	1108	354
758	1109	352
759	1110	350
760	1111	349
761	1112	347
762	1114	346
763	1115	344
764	1116	342
765	1117	341
766	1118	339
767	1119	338
768	1120	336
769	1122	335
770	1123	333
771	1124	332
772	1125	330
773	1126	329
774	1127	327
775	1128	325
776	1129	324
777	1130	322
778	1131	321
779	1132	319
780	1133	317
781	1135	316
782	1136	315
783	1138	313
784	1139	312
785	1141	310
786	1142	309
787	1143	307
788	1144	306
789	1145	304
790	1146	303
791	1147	301
792	1149	299
793	1150	298
794	1151	296
795	1153	295
796	1154	294
797	1155	292
798	1156	290
799	1157	289
800	1158	287
801	1160	286
802	1161	284
803	1162	283
804	1163	281
805	1164	280
806	1165	278
807	1167	277
808	1168	275
809	1169	274
810	1170	272
811	1171	271
812	1172	269
813	1173	268
814	1174	266
815	1175	265
816	1176	263
817	1178	262
818	1179	260
819	1180	259
820	1181	257
821	1183	256
822	1184	254
823	1185	253
824	1186	251
825	1187	250
826	1188	248
827	1189	247
828	1190	245
829	1191	244
830	1192	242
831	1193	241
832	1194	239
833	1196	238
834	1197	236
835	1198	235
836	1200	233
837	1201	232
838	1202	230
839	1203	229
840	1204	227
841	1205	226
842	1206	224
843	1207	223
844	1208	221
845	1210	220
846	1211	218
847	1212	217
848	1213	215
849	1214	214
850	1216	212
851	1217	211
852	1218	209
853	1219	208
854	1220	206
855	1221	205
856	1222	203
857	1223	202
858	1224	200
859	1225	199
860	1226	198
861	1228	196
862	1229	195
863	1230	193
864	1231	192
865	1232	190
866	1233	189
867	1234	187
868	1235	186
869	1237	184
870	1238	183
871	1239	181
872	1240	180
873	1241	178
874	1243	177
875	1244	176
876	1245	174
877	1246	173
878	1247	171
879	1248	170
880	1249	168
881	1250	167
882	1251	165
883	1252	164
884	1253	162
885	1254	161
886	1256	160
887	1257	158
888	1258	157
889	1260	155
890	1261	154
891	1262	152
892	1263	151
893	1264	149
894	1265	148
895	1266	147
896	1268	145
897	1269	144
898	1270	142
899	1271	141
900	1272	139
901	1274	138
902	1275	136
903	1276	135
904	1277	134
905	1278	132
906	1279	131
907	1280	129
908	1282	128
909	1283	126
910	1284	125
911	1285	124
912	1287	122
913	1288	121
914	1289	119
915	1290	118
916	1291	116
917	1292	115
918	1293	114
919	1294	112
920	1295	111
921	1296	109
922	1298	108
923	1299	106
924	1300	105
925	1301	104
926	1302	102
927	1304	101
928	1305	99
929	1306	98
930	1307	96
931	1308	95
932	1309	94
933	1310	92
934	1311	91
935	1312	89
936	1314	88
937	1315	86
938	1317	85
939	1318	84
940	1319	82
941	1320	81
942	1321	79
943	1322	78
944	1323	77
945	1324	75
946	1325	74
947	1327	72
948	1328	71
949	1329	69
950	1330	68
951	1332	67
952	1333	65
953	1334	64
954	1335	62
955	1336	61
956	1337	60
957	1338	58
958	1339	57
959	1340	55
960	1341	54
961	1343	53
962	1344	51
963	1345	50
964	1346	48
965	1348	47
966	1349	46
967	1350	44
968	1352	43
969	1353	41
970	1354	40
971	1355	39
972	1356	37
973	1357	36
974	1358	34
975	1359	33
976	1361	32
977	1364	30
978	1365	29
979	1366	27
980	1367	26
981	1368	25
982	1369	23
983	1370	22
984	1371	20
985	1373	19
986	1374	18
987	1375	16
988	1376	15
989	1378	13
990	1379	12
991	1380	11
992	1381	9
993	1382	8
994	1383	6
995	1385	5
996	1386	4
997	1387	2
998	1388	1
999	1389	0
